**BELLMAN**
 [0, 5, 99, 99, 99, 99]
 [0, 5, 6, 99, 0, 99]
 [0, 5, 6, 99, 0, 99]
 [0, 5, 6, 99, 0, 99]
 [0, 5, 6, 1, 0, 99]
 [0, 5, 6, 1, 0, 99]
 [0, 5, 6, 1, 0, 99]
 [0, 5, 6, 1, 0, 99]
 [0, 5, 6, 1, 0, 99]
 [0, 5, 2, 1, 0, 99]
 [0, 5, 2, 1, 0, 99]
 [0, 5, 2, 1, 0, 99]
 [0, 5, 2, 1, 0, 99]
 [0, 3, 2, 1, 0, 99]
 [0, 3, 2, 1, 0, 99]
 [0, 3, 2, 1, 0, 99]
 [0, 3, 2, 1, 0, 99]
 [0, 3, 2, 1, -2, 99]
 [0, 3, 2, 1, -2, 99]
 [0, 3, 2, 1, -2, 99]
 [0, 3, 2, -1, -2, 99]
 [0, 3, 2, -1, -2, 99]
 [0, 3, 2, -1, -2, 99]
 [0, 3, 2, -1, -2, 99]
 [0, 3, 0, -1, -2, 99]
 [0, 3, 0, -1, -2, 99]
CIRCUIT ABSORBANT !
